language	Pan 4000BC	Rukai	Rukai	Tsou	Tagalog	Ilocano	Cebuano	Chamorro	Malagasy	Chǎm	Rhad	Batak	Malay Indonesia	Minang Kabau	Rejang	Javanese	Tetun	Fijian	Kiribati	Tongan	Samoan	Maori	Tahitian	Marquesan	Leeward Islands	Hawaiian
1	*isa	cecay	itha	coni	isá	maysá	usá	maisa/håcha	iray/isa	sa	sa	sada 	satu 	ciek	do	siji	ida	dua	teuana	taha	tasi	tahi	hō'ē	tahi	tahi	kahi
2	*DuSa	tusa	drusa	yuso	dalawá	dua	duhá	hugua	roa	dua	dua	dua	dua	duo	duai	loro	rua	rua	uoua	ua	lua	rua	piti	'ua	rua	lua
3	*telu	tulu	tulru	tuyu	tatló	talló	tuló	tulu	telo	tlau	tlâo	tolu	tiga	tigo	tlau	telu	tolu	tolu	teniua	tolu	tolu	toru	toru	to'u	toru	kolu
4	*Sepat	sepat	supate	sʉptʉ	ápat	uppát	upat	fatfat	efatra	pak	pă	opat	empat	ampek	pat	papat	hat	vā	aua	fā	fā	whā	maha	hā	fā	hā
5	*lima	lima	lrima	eimo	limá	limá	limá	lima	dimy	limy	êma	lima	lima	limo	lêmo	lima	lima	lima	nimaua	nima	lima	rima	pae	'ima	rima	lima
6	*enem	enem	eneme	nomʉ	ánim	inném	unom	gunum	enina	nam	năm	onom	enam	anam	num	nem	nen	ono	onoua	ono	ono	ono	ōno	ono	ono	ono
7	*pitu	pitu	pitu	pitu	pitó	pitó	pitó	fiti	fito	tajuh	kjuh	pitu	tujuh	tujuah	tujuak	pitu	hitu	vitu	itiua	fitu	fitu	whitu	hitu	hitu	fitu	hiku
8	*walu	falu	valru	voyu	waló	waló	waló	guålu	valo	dalipan	sapăn	walu	lapan/delapan	salapan	dêlapên	wolu	ualu	walu	waniua	valu	valu	waru	va'u	va'u	varu	walu
9	*Siwa	siwa	bangate	sio	siyám	siam	siyám	sigua	sivy	thalipan	duapăn	sia	sembilan	sambilan	sêmbilan	sanga	sia	ciwa	ruaiua	hiva	iva	iwa	iva	iva	iva	iwa
10	*puluq	pulu'	pulruku	maskʉ	sampu	sangapúlo	napulu	månot/fulu	folo	pluh	pluh	sapuluh	sepuluh	sapuluah	sêpuluak	sepuluh	sanulu	tini	tebuina	-fulu	sefulu	tekau ( archaic: ngahuru)	'ahuru	'ahu'u	'ahuru	-'umi
