Letter	Name (in IPA )	Sound (in IPA )	English equivalent
Aa	a (/a/)	/a/ 	a as in f a ther
Bb	be (/be/)	/b/ 	b as in b ed
Cc	ce (/t͡ʃe/)	/t͡ʃ/ 	ch as in ch eck
Dd	de (/de/)	/d/ 	d as in d ay
Ee	e (/e/)	/e/ 	e as in r e d
Ff	ef (/ef/)	/f/ 	f as in e f fort
Gg	ge (/ge/)	/ɡ/ 	g as in g ain
Hh	ha (/ha/)	/h/ 	h as in h arm
Ii	i (/i/)	/i/ 	i as in p i n
Jj	je (/d͡ʒe/)	/d͡ʒ/ 	j as in j am
Kk	ka (/ka/)	/k/ 	k as in s k ate
Ll	el (/el/)	/l/ 	l as in l et
Mm	em (/em/)	/m/ 	m as in m all
Nn	en (/en/)	/n/ 	n as in n et
Oo	o (/o/)	/o/ 	o as in o we
Pp	pe (/pe/)	/p/ 	p as in s p eak
Qq	qi or qiu (/ki/ or /kiu̯/)	/k/ 	q as in q ueen
Rr	er (/er/)	/r/ 	Spanish rr as in pue rr o
Ss	es (/es/)	/s/ 	s as in s un
Tt	te (/te/)	/t/ 	unaspirated t as in s t ill
Uu	u (/u/)	/u/ 	u as in p u ll
Vv	ve (/ve/ or /fe/)	/v/ or /f/ 	v as in v an
Ww	we (/we/)	/w/ 	w as in w et
Xx	ex (/eks/)	/ks/ or /s/ 	x as in bo x 
Yy	ye (/je/)	/j/ 	y as in y arn
Zz	zet (/zet/)	/z/ 	z as in z ebra
