en	es	es-phon
hello	hola	(oh-lah) 
ice cream	helado	(eh-lah-doh) 
water	agua	(a-gwa) 
supermarket	supermercado	(soo-pair-mair-kah-doh) 
cat	gato	(ga-toh) 
bus	autobús	(ow-toh-boos) 
dress	vestido	(ves-tee-doh) 
dog	perro	(peh-roh) 
banana	plátano	(pla-ta-noh) 
carrot	zanahoria	(za-na-or-ree-ya) 
taxi	taxi	(tak-see) 
t-shirt	camiseta	(ka-mee-seh-ta) 
fish	pescado	(pes-kah-doh) 
aeroplane/airplane	avión	(av-ee-on) 
horse	caballo	(ka-ba-yo) 
french fries	patatas fritas	(pa-ta-tas free-tas) 
swimming pool	piscin	(pee-see-na) 
cheese	queso	(keh-soh) 
towel	toalla	(toh-al-ya) 
doctor	doctor/doctora	(dok-tor/dok-tora) 
apple	manzana	(man-za-na) 
beach	playa	(pla-ya) 
bicycle	bicicleta	(bee-see-kle-ta) 
airport	aeropuerto	(aye-roh-pwair-toh) 
juice	jugo	(khoo-go) 
bakery	panadería	(pa-na-de-ree-a) 
shoes	zapatos	(za-pa-tos) 
phone	teléfono	(te-leh-fo-noh) 
post office	correos	(ko-ray-os) 
restaurant	restaurante	(res-tow-ran-teh) 
hotel	hotel	(oh-tel) 
milk	leche	(leh-tchay) 
chocolate	chocolate	(tcho-koh-lah-teh) 
car	coche	(ko-tchay) 
hat	sombrero	(som-brair-roh) 
sunglasses	gafas de sol	(ga-fas dey sol) 
chicken	pollo	(pol-yo) 
train	tren	(tren) 
station	estación	(es-ta-see-on) 
toilet	servicio	(sair-vee-see-oh) 
bed	cama	(ka-ma) 
house	casa	(ka-sa) 
trousers/pants	pantalones	(pan-ta-loh-nes) 
suitcase	maleta	(ma-leh-ta) 
plate	plato	(pla-toh) 
knife	cuchillo	(koo-tchee-lyo) 
fork	tenedor	(teh-nay-dor) 
spoon	cuchara	(koo-tcha-ra) 
computer	ordenador	(or-day-na-dor) 
book	libro	(lee-broh) 
sandwich	emparedado	(em-pa-reh-dah-doh) 
yes	sí	(see) 
no	no	(no) 
cinema/movie theater	cine	(see-nay) 
park	parque	(par-keh) 
menu	menú	(meh-noo) 
passport	pasaporte	(pas-a-por-teh) 
police officer	policía	(po-lee-see-a) 
key	llave	(lya-vay) 
ticket	boleto	(bo-leh-toh) 
pineapple	piña	(pee-nya) 
rain	lluvia	(lyoo-vee-ah) 
snow	nieve	(nee-eh-vay) 
sun	sol	(sol) 
tree	árbol	(ahr-bol) 
flower	flor	(flor) 
cake	pastel	(pas-tel) 
ball	pelota	(peh-lo-ta) 
bird	pájaro	(pa-kha-roh) 
egg	huevo	(way-voh) 
umbrella	paraguas	(pa-ra-gwas) 
rabbit	conejo	(ko-neh-khoh) 
money	dinero	(dee-nair-roh) 
bank	banco	(ban-koh) 
mouse	ratón	(ra-ton) 
scarf	bufanda	(boo-fan-da) 
gloves	guantes	(gwan-tes) 
coat	abrigo	(a-bree-goh) 
hospital	hospital	(os-pee-tal) 
chair	silla	(see-lya) 
table	mesa	(meh-sa) 
toothbrush	cepillo de dientes	(theh-pee-lyo dey dyen-tes) 
toothpaste	dentífrico	(den-tee-free-koh) 
sun cream/sunscreen	crema solar	(kray-ma so-lar) 
lion	león	(lay-on) 
elephant	elefante	(eh-lay-fan-tay) 
monkey	mono	(mo-noh) 
spider	araña	(a-ra-nya) 
burger	hamburguesa	(am-boor-gay-sa) 
pen	bolígrafo	(boh-lee-gra-foh) 
door	puerta	(pwair-ta) 
window	ventana	(ven-ta-na) 
tent	tienda	(tee-en-da) 
church	iglesia	(ee-glay-see-ah) 
tomato	tomate	(tom-ah-tay) 
moon	luna	(loo-na) 
stars	estrellas	(es-tray-yas) 
postcard	postal	(pos-tal) 
boat	barco	(bar-koh) 
goodbye	adiós	(a-dee-oss) 
